,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,Mass_activity
initial,0.3,0.1,0.15,0.05,0.4,0.377818483,0.061244322,0.005083894,0.024590343,0.531262957,4.113427531
initial,0.3,0.15,0.15,0.1,0.3,0.434954492,0.101767372,0.00588662,0.041895943,0.415495572,4.122841703
initial,0.25,0.1,0.35,0.2,0.1,0.474543735,0.136283001,0.03057812,0.126224589,0.232370554,4.176785481
initial,0.35,0.35,0.05,0.15,0.1,0.421665415,0.110268248,0.005555159,0.052884708,0.40962647,4.181260457
initial,0.35,0.15,0.35,0.05,0.1,0.556960294,0.190206274,0.013588052,0.073063394,0.166181986,4.202796501
initial,0.15,0.3,0.35,0.05,0.15,0.526281305,0.157412718,0.015769973,0.039486336,0.261049667,4.237970553
initial,0.1,0.3,0.15,0.25,0.2,0.417448323,0.233440955,0.035068215,0.09683735,0.217205156,4.59652419
initial,0.3,0.15,0.1,0.15,0.3,0.411224477,0.102863041,0.006871204,0.053760999,0.42528028,4.67191751
initial,0.2,0.1,0.3,0.2,0.2,0.412836064,0.080540545,0.048811844,0.083714855,0.374096692,4.770398071
initial,0.2,0.25,0.2,0.15,0.2,0.476013602,0.162496331,0.011112079,0.057231809,0.29314618,4.858314117
initial,0.35,0.1,0.2,0.2,0.15,0.50198159,0.113401591,0.007499255,0.105707429,0.271410135,4.892949151
initial,0.35,0.15,0.05,0.35,0.1,0.527862924,0.1838391,0.004939925,0.134193565,0.149164486,4.967373573
iter1,0.156403202,0.255737762,0.15769591,0.427861545,0.002301581,0.366804876,0.068877042,0.004682674,0.54872613,0.010909277,5.020083135
initial,0.2,0.25,0.15,0.2,0.2,0.513863633,0.233899826,0.018237199,0.078830749,0.155168593,5.064512631
initial,0.3,0.15,0.25,0.2,0.1,0.418151556,0.126987691,0.018939918,0.056479524,0.379441311,5.078723701
initial,0.45,0.05,0.4,0.05,0.05,0.471793917,0.083277107,0.009100162,0.311101684,0.12472713,5.201486139
initial,0.1,0.25,0.2,0.2,0.25,0.393398389,0.137302426,0.013300523,0.085575239,0.370423423,5.251511308
initial,0.15,0.25,0.35,0.05,0.2,0.516007021,0.132603076,0.009736197,0.036748846,0.30490486,5.318869113
initial,0.1,0.25,0.3,0.05,0.3,0.419185382,0.133824791,0.019009867,0.070912,0.35706796,5.474737942
initial,0.3,0.05,0.4,0.2,0.05,0.506078868,0.080779007,0.052979166,0.277501735,0.082661224,5.581196843
initial,0.1,0.25,0.3,0.15,0.2,0.415774467,0.10506643,0.025014367,0.025523973,0.428620763,5.615035203
initial,0.25,0.2,0.15,0.1,0.3,0.49022018,0.132981129,0.006138851,0.044315265,0.326344575,5.633065695
initial,0.15,0.35,0.2,0.15,0.15,0.415678547,0.224533101,0.04244794,0.091583779,0.225756633,5.645422589
initial,0.1,0.35,0.2,0.05,0.3,0.50816577,0.175673538,0.010811479,0.031439525,0.273909688,5.667316734
initial,0.25,0.2,0.2,0.15,0.2,0.415124953,0.144057446,0.058264565,0.073085693,0.309467343,5.734746723
initial,0.35,0.25,0.15,0.1,0.15,0.4898125,0.21317849,0.011433652,0.061125787,0.224449571,5.742542153
initial,0.25,0.1,0.25,0.05,0.35,0.428777481,0.058423015,0.0090535,0.028195573,0.475550431,5.829432797
initial,0.15,0.2,0.1,0.1,0.45,0.433410931,0.104831977,0.005117063,0.040711276,0.415928752,6.077608142
initial,0.2,0.2,0.3,0.2,0.1,0.47794937,0.177623008,0.035566918,0.103670529,0.205190176,6.113847887
initial,0.15,0.2,0.25,0.2,0.2,0.426526203,0.146880318,0.029782922,0.07513965,0.321670907,6.141398063
initial,0.4,0.05,0.15,0.25,0.15,0.49163587,0.059842493,0.014931544,0.230878692,0.202711402,6.230113275
initial,0.25,0.15,0.15,0.4,0.05,0.449461672,0.227075731,0.006369532,0.261144095,0.05594897,6.458116356
initial,0.15,0.05,0.4,0.3,0.1,0.475274074,0.099697965,0.016334079,0.147244673,0.261449209,6.482706027
initial,0.25,0.1,0.4,0.15,0.1,0.546732981,0.156711757,0.019986449,0.130102893,0.146465921,6.580600174
initial,0.15,0.1,0.05,0.45,0.25,0.422697595,0.098855462,0.006153948,0.100193634,0.372099361,6.888803287
initial,0.2,0.1,0.2,0.1,0.4,0.412902859,0.055629517,0.010056738,0.033363545,0.488047341,6.94029233
initial,0.3,0.05,0.05,0.4,0.2,0.484238752,0.085128557,0.007793412,0.180589787,0.242249492,6.96401602
initial,0.2,0.2,0.2,0.3,0.1,0.506548988,0.19869858,0.013813561,0.128170998,0.152767873,7.261777854
initial,0.15,0.5,0.25,0.05,0.05,0.617112376,0.274647158,0.013633073,0.028648118,0.065959274,7.371999454
initial,0.1,0.35,0.3,0.05,0.2,0.399982572,0.182230198,0.036718733,0.052168863,0.328899634,7.640511308
initial,0.2,0.3,0.3,0.05,0.15,0.542637425,0.175177144,0.010889644,0.036269882,0.235025905,7.681348843
initial,0.4,0.25,0.15,0.1,0.1,0.552787641,0.251222921,0.007433211,0.083210524,0.105345703,7.760102111
initial,0.2,0.05,0.5,0.05,0.2,0.465607849,0.077799304,0.020403281,0.085461412,0.350728154,7.78425007
initial,0.2,0.25,0.35,0.05,0.15,0.527778284,0.158908517,0.028137939,0.038544512,0.246630748,8.01036001
initial,0.2,0.15,0.4,0.05,0.2,0.466168622,0.115183661,0.031481188,0.046337448,0.340829081,8.235991379
